StockCode,ProductDescription,TotalRevenue,TotalQuantity,InvoiceCount,RevenueRank,QuantityRank,InvoiceRank
16156S,WRAP PINK FAIRY CAKES ,2331.0,5800,167,949.0,214.5,967.0
16161G,WRAP BAD HAIR DAY,70.0,700,22,3172.0,1523.5,2761.5
16161M,WRAP  PINK FLOCK,10.5,25,1,3712.5,3225.0,3837.0
16161P,WRAP ENGLISH ROSE ,2980.42,7201,248,793.0,148.0,610.5
16161U,WRAP SUKI AND FRIENDS,1687.5,4075,134,1195.0,325.0,1213.5
16162L,THE KING GIFT BAG,13.0,20,8,3676.0,3295.0,3262.0
16162M,THE KING GIFT BAG 25x24x12cm,11.76,28,8,3699.0,3181.5,3262.0
16168M,FUNKY MONKEY GIFT BAG MEDIUM,173.12,371,41,2795.0,1955.5,2326.0
16169E,WRAP 50'S  CHRISTMAS,1892.46,4563,149,1108.0,283.0,1090.5
16169K,WRAP FOLK ART,84.0,200,8,3101.0,2330.5,3262.0
16169M,WRAP DAISY CARPET ,277.2,660,25,2555.0,1559.5,2686.0
16169N,WRAP BLUE RUSSIAN FOLKART,10.5,25,1,3712.5,3225.0,3837.0
16169P,WRAP GREEN RUSSIAN FOLKART ,21.0,50,2,3562.5,2977.0,3698.0
16202A,PASTEL PINK PHOTO ALBUM ,3.5,7,2,3856.0,3588.5,3698.0
16202B,PASTEL BLUE PHOTO ALBUM ,14.5,29,2,3657.0,3170.5,3698.0
16202E,BLACK PHOTO ALBUM ,7.5,15,3,3769.5,3379.5,3589.0
16206B,RED PURSE WITH PINK HEART,8.75,7,2,3743.0,3588.5,3698.0
16207A,PINK STRAWBERRY HANDBAG ,163.1,60,34,2824.0,2903.0,2460.5
16207B,PINK HEART RED HANDBAG,76.14,29,18,3139.0,3170.5,2879.5
16216,LETTER SHAPE PENCIL SHARPENER,234.0,3333,45,2647.0,412.0,2243.5
16218,CARTOON  PENCIL SHARPENERS,283.31,3821,64,2545.0,354.0,1964.5
16219,HOUSE SHAPE PENCIL SHARPENER,407.71999999999997,3048,100,2352.0,459.0,1529.0
16225,RATTLE SNAKE EGGS,689.35,813,102,1947.0,1411.0,1502.5
16235,RECYCLED PENCIL WITH RABBIT ERASER,695.4,3068,168,1939.0,456.0,961.5
16236,KITTY PENCIL ERASERS,320.09,1438,136,2481.0,958.5,1193.5
16237,SLEEPING CAT ERASERS,1047.93,4991,290,1591.0,255.0,493.5
16238,PARTY TIME PENCIL ERASERS,321.67,1396,134,2478.0,976.0,1213.5
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7.85,7,2,3762.0,3588.5,3698.0
16248B,BLUE HOLE PUNCH,16.25,13,7,3623.5,3425.5,3323.5
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,42.58,40,17,3356.0,3052.5,2907.5
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,178.97,472,59,2780.0,1800.0,2031.5
16259,PIECE OF CAMO STATIONERY SET,326.56,3380,31,2468.0,405.0,2534.0
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,20.88,72,1,3565.0,2832.0,3837.0
17003,BROCADE RING PURSE ,6025.95,23020,239,422.0,15.0,642.5
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,50.400000000000006,24,2,3300.5,3242.0,3698.0
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,66.36,81,7,3194.0,2769.0,3323.5
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,375.93,323,65,2394.0,2049.0,1952.5
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,595.85,525,85,2071.5,1726.0,1689.0
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,481.79999999999995,420,85,2238.0,1878.5,1689.0
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,547.24,461,97,2151.0,1819.0,1570.5
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,62.64,44,10,3220.0,3019.0,3156.5
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,530.6,448,94,2168.0,1845.0,1598.0
17013D,ORIGAMI ROSE INCENSE IN TUBE,267.82,535,13,2579.0,1712.0,3043.5
17014A,ORIGAMI VANILLA INCENSE CONES,71.19,155,8,3162.0,2487.5,3262.0
17021,NAMASTE SWAGAT INCENSE,632.34,2391,47,2016.0,592.0,2208.0
17028J,INCENSE BAZAAR PEACH,2.52,6,1,3874.0,3613.0,3837.0
17038,PORCELAIN BUDAH INCENSE HOLDER,158.06,1525,34,2840.0,922.0,2460.5
17084A,TRANQUILITY MASALA INCENSE,42.0,200,7,3362.0,2330.5,3323.5
17084J,LOVE POTION MASALA INCENSE,47.25,225,8,3329.5,2263.0,3262.0
17084N,FAIRY DREAMS INCENSE ,313.31,1264,101,2498.0,1057.5,1515.0
17084P,DRAGONS BLOOD INCENSE,104.44,423,39,3027.0,1872.0,2362.0
17084R,ASSORTED INCENSE PACK,760.3199999999999,4032,27,1859.0,331.0,2630.0
17090A,LAVENDER INCENSE 40 CONES IN TIN,107.45,109,10,3010.0,2634.5,3156.5
17090D,VANILLA INCENSE 40 CONES IN TIN,36.25,29,12,3420.0,3170.5,3077.0
17091A,LAVENDER INCENSE IN TIN,98.91,171,25,3046.0,2427.0,2686.0
17091J,VANILLA INCENSE IN TIN,920.67,2084,95,1697.0,683.5,1587.0
17096,ASSORTED LAQUERED INCENSE HOLDERS,455.9800000000001,2545,24,2269.0,551.5,2715.5
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",433.5,170,46,2307.0,2432.0,2225.5
17109D,FLOWER FAIRY INCENSE BOUQUET,32.349999999999994,61,5,3446.0,2895.5,3437.0
17129F,BLUE GLASS GEMS IN BAG,553.8299999999999,588,57,2136.0,1641.5,2059.0
17136A,BLUE STONES ON WIRE FOR CANDLE,29.59,352,17,3474.0,1986.5,2907.5
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,11.34,27,9,3707.0,3195.0,3204.5
17165D,ASS COL LARGE SAND FROG P'WEIGHT,28.35,27,7,3488.0,3195.0,3323.5
17174,ASSTD RASTA KEY-CHAINS,3.7800000000000002,9,3,3846.0,3532.5,3589.0
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,15.0,4,2,3642.5,3698.0,3698.0
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,395.61,5884,30,2364.0,205.0,2556.0
18094C,WHITE AND BLUE CERAMIC OIL BURNER,283.93,192,42,2543.0,2366.5,2303.5
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,12.75,5,4,3678.0,3653.0,3506.0
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1591.01,695,69,1248.0,1528.5,1903.0
18098C,PORCELAIN BUTTERFLY OIL BURNER,658.75,213,49,1987.0,2301.5,2173.0
18098c,PORCELAIN BUTTERFLY OIL BURNER,263.12,52,12,2594.0,2956.5,3077.0
20615,BLUE POLKADOT PASSPORT COVER,466.99,309,95,2256.0,2075.0,1587.0
20616,CHERRY BLOSSOM PASSPORT COVER,243.53,194,71,2631.0,2353.5,1876.0
20617,FIRST CLASS PASSPORT COVER ,194.94,93,43,2734.0,2719.5,2283.5
20618,QUEEN OF THE SKIES PASSPORT COVER ,286.39,148,76,2538.0,2506.5,1809.0
20619,TROPICAL PASSPORT COVER ,439.65,262,99,2299.0,2180.5,1543.0
20622,VIPPASSPORT COVER ,303.7,185,51,2516.0,2380.5,2136.5
20652,BLUE POLKADOT LUGGAGE TAG ,346.86,265,78,2442.0,2169.0,1780.5
20653,CHERRY BLOSSOM LUGGAGE TAG,95.17999999999999,73,33,3065.0,2825.0,2486.0
20654,FIRST CLASS LUGGAGE TAG ,193.59,152,49,2737.0,2493.5,2173.0
20655,QUEEN OF SKIES LUGGAGE TAG,292.29,197,99,2526.0,2342.0,1543.0
20657,TROPICAL LUGGAGE TAG,105.91,73,33,3015.0,2825.0,2486.0
20658,RED RETROSPOT LUGGAGE TAG,652.11,433,105,1993.0,1859.0,1465.5
20659,ECONOMY LUGGAGE TAG,246.84,158,62,2620.0,2479.0,1993.0
20661,BLUE POLKADOT PURSE ,141.15,44,33,2893.0,3019.0,2486.0
20662,FIRST CLASS HOLIDAY PURSE ,90.42,31,20,3078.0,3145.5,2817.0
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,66.26,25,20,3197.0,3225.0,2817.0
20664,TROPICAL HOLIDAY PURSE ,81.66,32,18,3114.0,3135.5,2879.5
20665,RED RETROSPOT PURSE ,1546.2700000000002,461,156,1274.0,1819.0,1044.0
20666,ECONOMY HOLIDAY PURSE,41.53,30,17,3364.0,3156.5,2907.5
20667,CHERRY BLOSSOM PURSE,49.69,20,16,3309.0,3295.0,2937.0
20668,DISCO BALL CHRISTMAS DECORATION,1501.4,12883,215,1300.0,48.0,741.0
20669,RED HEART LUGGAGE TAG,447.34,304,96,2281.0,2086.5,1578.5
20670,VIP HOLIDAY PURSE,44.04,14,11,3345.0,3401.0,3112.5
20671,BLUE TEATIME PRINT BOWL ,12.5,10,2,3684.0,3502.5,3698.0
20674,GREEN POLKADOT BOWL,2016.23,1563,205,1057.0,904.5,797.5
20675,BLUE POLKADOT BOWL,3983.12,3120,322,625.0,447.0,430.0
20676,RED RETROSPOT BOWL,6374.81,5023,448,401.0,250.5,233.0
20677,PINK POLKADOT BOWL,4747.34,3674,333,535.0,376.0,409.0
20678,LARGE BLACK DIAMANTE HAIRSLIDE,6.6,4,1,3788.5,3698.0,3837.0
20679,EDWARDIAN PARASOL RED,10021.42,1710,326,227.0,844.0,420.5
20681,PINK POLKADOT CHILDRENS UMBRELLA,506.96,140,46,2198.0,2538.0,2225.5
20682,RED RETROSPOT CHILDRENS UMBRELLA,4171.33,1235,237,597.0,1079.0,653.0
20684,STRAWBERRY DREAM CHILDS UMBRELLA,270.56,80,35,2570.0,2775.5,2439.0
20685,DOORMAT RED RETROSPOT,28049.54,4088,696,37.0,322.0,93.0
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,922.67,267,77,1696.0,2161.5,1793.0
20694,FLORAL PINK MONSTER,187.54,43,16,2755.0,3027.0,2937.0
20695,FLORAL BLUE MONSTER,21.25,5,4,3558.0,3653.0,3506.0
20696,FLORAL SOFT CAR TOY,230.81,54,30,2656.0,2937.0,2556.0
20697,LITTLE GREEN MONSTER SOFT TOY,48.449999999999996,19,11,3317.5,3313.0,3112.5
20698,LITTLE PINK MONSTER SOFT TOY,43.349999999999994,17,8,3349.0,3344.0,3262.0
20699,MOUSEY LONG LEGS SOFT TOY,266.03,97,41,2586.0,2693.5,2326.0
20700,GREEN CAT FLORAL CUSHION COVER ,345.17,73,54,2444.0,2825.0,2095.5
20701,PINK CAT FLORAL CUSHION COVER ,100.97,25,18,3035.0,3225.0,2879.5
20702,PINK PADDED MOBILE,573.54,134,42,2098.0,2553.5,2303.5
20703,BLUE PADDED SOFT MOBILE,4.25,1,1,3837.0,3874.5,3837.0
20704,MR ROBOT SOFT TOY,697.7,216,44,1936.0,2290.5,2264.0
20705,MRS ROBOT SOFT TOY,428.85,143,28,2312.0,2524.5,2601.0
20707,CRAZY DAISY HEART DECORATION,468.39,464,149,2255.0,1811.0,1090.5
20711,JUMBO BAG TOYS ,11014.62,5007,522,202.0,253.0,173.0
20712,JUMBO BAG WOODLAND ANIMALS,22092.420000000002,9773,863,76.0,91.0,58.0
20713,JUMBO BAG OWLS,23001.06,11429,657,66.0,68.0,108.5
20716,PARTY FOOD SHOPPER BAG,469.63,400,73,2254.0,1918.0,1851.5
20717,STRAWBERRY SHOPPER BAG,3561.98,2855,412,689.0,485.0,277.5
20718,RED RETROSPOT SHOPPER BAG,6604.29,4769,575,387.0,271.0,138.0
20719,WOODLAND CHARLOTTE BAG,16744.45,13290,833,117.0,45.0,64.0
20723,STRAWBERRY CHARLOTTE BAG,12548.15,9793,722,166.0,90.0,87.0
20724,RED RETROSPOT CHARLOTTE BAG,21773.39,17761,1032,79.0,26.0,33.0
20725,LUNCH BAG RED RETROSPOT,35862.36,19432,1565,21.0,19.0,5.0
20726,LUNCH BAG WOODLAND,18283.78,9909,1017,102.0,87.0,34.0
20727,LUNCH BAG  BLACK SKULL.,22346.96,12195,1273,73.0,59.0,11.0
20728,LUNCH BAG CARS BLUE,21699.48,11786,1150,80.0,64.0,21.0
20731,POSY CANDY BAG,109.96,92,16,3002.0,2726.0,2937.0
20733,GOLD MINI TAPE MEASURE ,956.36,1234,205,1671.5,1080.0,797.5
20734,SILVER MINI TAPE MEASURE ,271.21999999999997,158,26,2565.0,2479.0,2655.5
20735,BLACK MINI TAPE MEASURE ,625.8,623,112,2029.0,1602.0,1396.5
20748,KENSINGTON COFFEE SET,751.17,57,34,1871.0,2918.5,2460.5
20749,ASSORTED COLOUR MINI CASES,12550.57,1762,383,165.0,821.5,313.0
20750,RED RETROSPOT MINI CASES,12634.98,1747,385,164.0,828.0,312.0
20751,FUNKY WASHING UP GLOVES ASSORTED,2041.5200000000002,971,198,1048.0,1261.0,824.5
20752,BLUE POLKADOT WASHING UP GLOVES,920.45,407,148,1698.0,1906.0,1098.0
20754,RETROSPOT RED WASHING UP GLOVES,3088.86,1457,304,772.0,947.5,462.5
20755,BLUE PAISLEY POCKET BOOK,271.16999999999996,306,62,2566.0,2080.5,1993.0
20756,GREEN FERN POCKET BOOK,53.55,63,22,3280.5,2887.0,2761.5
20757,RED DAISY POCKET BOOK ,136.64,158,33,2911.0,2479.0,2486.0
20758,ABSTRACT CIRCLES POCKET BOOK,135.14999999999998,159,42,2913.0,2472.0,2303.5
20759,CHRYSANTHEMUM POCKET BOOK ,54.4,64,20,3272.0,2880.0,2817.0
20760,GARDEN PATH POCKET BOOK,58.65,69,21,3243.0,2851.5,2788.0
20761,BLUE PAISLEY SKETCHBOOK,505.97,120,63,2199.0,2606.0,1975.0
20762,GREEN FERN SKETCHBOOK ,420.08,106,56,2326.0,2654.0,2073.0
20763,DAISY SKETCHBOOK ,205.04,73,27,2708.0,2825.0,2630.0
20764,ABSTRACT CIRCLES SKETCHBOOK ,603.3100000000001,142,76,2063.0,2530.0,1809.0
20765,CHRYSANTHEMUM SKETCHBOOK ,416.05,102,59,2333.0,2674.0,2031.5
20766,GARDEN PATH SKETCHBOOK,493.57,122,57,2224.0,2599.0,2059.0
20767,BLUE PAISLEY JOURNAL ,656.0600000000001,250,79,1992.0,2207.5,1763.5
20768,GREEN FERN JOURNAL ,438.57,176,55,2300.0,2410.0,2084.5
20769,DAISY JOURNAL ,217.56,80,34,2685.0,2775.5,2460.5
20770,ABSTRACT CIRCLE JOURNAL ,447.25,184,72,2282.0,2385.0,1864.0
20771,CHRYSANTHEMUM  JOURNAL,267.13,102,40,2583.0,2674.0,2345.0
20772,GARDEN PATH JOURNAL,621.19,247,65,2037.0,2217.5,1952.5
20773,BLUE PAISLEY NOTEBOOK,92.39999999999999,56,23,3070.0,2925.5,2736.5
20774,GREEN FERN NOTEBOOK,141.23999999999998,86,44,2892.0,2749.0,2264.0
20775,DAISY NOTEBOOK ,233.54,134,63,2648.0,2553.5,1975.0
20777,CHRYSANTHEMUM NOTEBOOK,282.49,169,80,2547.0,2437.0,1749.5
20778,GARDEN PATH NOTEBOOK ,24.75,15,8,3528.5,3379.5,3262.0
20780,BLACK EAR MUFF HEADPHONES,312.7,47,28,2504.5,2993.0,2601.0
20781,GOLD EAR MUFF HEADPHONES,212.26,35,25,2695.0,3104.0,2686.0
20782,CAMOUFLAGE EAR MUFF HEADPHONES,368.08,53,27,2403.0,2945.0,2630.0
20785,FUSCHIA RETRO BAR STOOL,523.3000000000001,14,5,2183.0,3401.0,3437.0
20793,BLUE TILED TRAY,54.0,8,4,3274.5,3563.5,3506.0
20794,BLUE  TILE HOOK,282.78999999999996,99,27,2546.0,2684.5,2630.0
20795,LARGE BLUE PROVENCAL CERAMIC BALL,113.05,49,11,2991.0,2985.5,3112.5
20796,SMALL BLUE PROVENCAL CERAMIC BALL,103.94,62,9,3028.0,2891.5,3204.5
20798,CLEAR MILKSHAKE GLASS,75.60000000000001,36,5,3140.0,3091.0,3437.0
20801,LARGE PINK GLASS SUNDAE DISH,1157.8,1013,81,1497.0,1221.0,1738.0
20802,SMALL GLASS SUNDAE DISH CLEAR,984.47,739,63,1646.0,1481.0,1975.0
20803,SMALL PINK GLASS SUNDAE DISH,476.38,939,40,2248.0,1292.5,2345.0
20816,GOLD FLOWER CUSHION COVER ,15.6,8,2,3631.5,3563.5,3698.0
20818,GOLD TEDDY BEAR,42.7,15,5,3355.0,3379.5,3437.0
20819,SILVER TEDDY BEAR,244.72,64,27,2628.0,2880.0,2630.0
20820,SILVER LOOKING MIRROR,24.75,5,2,3528.5,3653.0,3698.0
20821,GOLDIE LOOKING MIRROR,84.15,17,6,3100.0,3344.0,3376.5
20823,GOLD WINE GOBLET,129.56,164,8,2934.0,2450.5,3262.0
20826,SILVER APERITIF GLASS,128.4,276,8,2938.0,2142.5,3262.0
20827,GOLD APERITIF GLASS,34.32,88,2,3434.0,2738.0,3698.0
20828,GLITTER BUTTERFLY CLIPS,3074.78,1128,241,773.0,1152.5,633.0
20829,GLITTER HANGING BUTTERFLY STRING,2722.9500000000003,1314,194,848.0,1030.5,847.0
20830,SILVER PHOTO FRAME,409.83,136,37,2348.0,2549.5,2398.0
20831,GOLD PHOTO FRAME,466.53,216,39,2258.0,2290.5,2362.0
20832,RED FLOCK LOVE HEART PHOTO FRAME,572.67,1067,82,2099.0,1187.5,1725.5
20835,FRENCH LATTICE CUSHION COVER ,65.80000000000001,67,8,3199.0,2862.5,3262.0
20836,FRENCH PAISLEY CUSHION COVER,141.10000000000002,170,17,2895.0,2432.0,2907.5
20837,FRENCH FLORAL CUSHION COVER ,142.47000000000003,141,15,2888.0,2534.5,2970.0
20838,FRENCH LATTICE CUSHION COVER ,461.45,385,57,2263.0,1936.5,2059.0
20839,FRENCH PAISLEY CUSHION COVER ,840.4399999999999,575,105,1771.0,1661.5,1465.5
20840,FRENCH FLORAL CUSHION COVER ,632.3199999999999,533,74,2017.0,1714.0,1836.5
20845,ZINC HEART LATTICE 2 WALL PLANTER,120.64999999999999,19,11,2960.0,3313.0,3112.5
20846,ZINC HEART LATTICE T-LIGHT HOLDER,957.32,716,88,1669.0,1501.5,1657.5
20847,ZINC HEART LATTICE CHARGER LARGE,217.57999999999998,52,18,2684.0,2956.5,2879.5
20848,ZINC HEART LATTICE CHARGER SMALL,61.95,21,8,3226.0,3279.0,3262.0
20851,ZINC HEART LATTICE TRAY OVAL ,53.550000000000004,9,7,3279.0,3532.5,3323.5
20854,BLUE PATCH PURSE PINK HEART,383.02,242,41,2381.0,2227.5,2326.0
20856,DENIM PATCH PURSE PINK BUTTERFLY,357.29,216,61,2419.0,2290.5,2010.5
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,52.8,32,8,3285.0,3135.5,3262.0
20860,GOLD COSMETICS BAG WITH BUTTERFLY,2.1,1,1,3889.0,3874.5,3837.0
20861,GOLD COSMETIC BAG PINK STAR,4.2,2,2,3839.5,3800.5,3698.0
20866,BLUE ROSE FABRIC MIRROR,709.7,597,90,1924.0,1625.0,1628.5
20867,PINK ROSE FABRIC MIRROR,393.46999999999997,331,62,2367.0,2028.5,1993.0
20868,SILVER FABRIC MIRROR,219.35,458,46,2679.0,1826.5,2225.5
20869,GOLD FABRIC MIRROR,86.76,180,29,3092.0,2398.5,2577.0
20871,OPULENT VELVET SET/3 CANDLES,8.42,2,1,3756.0,3800.5,3837.0
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,30.0,24,7,3456.5,3242.0,3323.5
20886,BOX OF 9 PEBBLE CANDLES,986.23,485,103,1644.0,1778.0,1490.5
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,89.22,4,3,3084.0,3698.0,3589.0
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,609.02,268,26,2053.0,2159.5,2655.5
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,108.71000000000001,33,15,3007.0,3124.0,2970.0
20897,VINTAGE NOTEBOOK PARIS DAYS,298.27,107,24,2523.0,2646.0,2715.5
20898,VINTAGE NOTEBOOK TRAVELOGUE,105.73,38,13,3017.0,3074.0,3043.5
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,85.13,19,15,3099.0,3313.0,2970.0
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,686.86,112,56,1951.0,2626.0,2073.0
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,441.89,82,56,2295.0,2764.0,2073.0
20906,VINTAGE NOTEBOOK BEAUTY GIRL,8.850000000000001,3,2,3737.0,3743.0,3698.0
20910,VINTAGE PHOTO ALBUM PARIS DAYS,50.8,8,3,3298.0,3563.5,3589.0
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,18357.75,6361,880,100.0,181.0,52.0
20931,BLUE POT PLANT CANDLE ,1060.9,299,68,1578.0,2098.0,1916.5
20932,PINK POT PLANT CANDLE,628.7900000000001,204,35,2025.0,2321.5,2439.0
20933,YELLOW POT PLANT CANDLE,71.05,23,9,3163.0,3254.5,3204.5
20934,SET/3 POT PLANT CANDLES,424.46000000000004,68,32,2318.0,2857.5,2512.5
20935,ROUND CACTUS CANDLE,17.700000000000003,6,4,3593.5,3613.0,3506.0
20936,FORKED CACTUS CANDLE,319.66,100,34,2483.0,2680.0,2460.5
20941,FROG CANDLE,83.78,64,19,3102.0,2880.0,2848.5
20954,*USB Office Mirror Ball,16.94,2,2,3611.0,3800.5,3698.0
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,1146.52,822,101,1509.0,1398.5,1515.0
20960,WATERMELON BATH SPONGE,72.49,29,10,3158.0,3170.5,3156.5
20961,STRAWBERRY BATH SPONGE ,1745.43,1232,228,1167.0,1081.0,682.5
20963,APPLE BATH SPONGE,1911.17,1336,229,1102.0,1016.0,679.5
20964,POLYESTER FILLER PAD 60x40cm,5.1,2,1,3811.5,3800.5,3837.0
20966,SANDWICH BATH SPONGE,1022.8,719,97,1613.0,1499.0,1570.5
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1027.94,265,83,1606.0,2169.0,1712.0
20969,RED FLORAL FELTCRAFT SHOULDER BAG,7229.43,1960,305,330.0,732.0,459.0
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4232.13,1116,262,589.0,1159.0,565.5
20971,PINK BLUE FELT CRAFT TRINKET BOX,13828.1,10993,522,146.0,70.0,173.0
20972,PINK CREAM FELT CRAFT TRINKET BOX ,9128.06,7337,616,258.0,144.0,120.5
20973,12 PENCIL SMALL TUBE WOODLAND,3210.27,4497,355,755.0,288.0,367.5
20974,12 PENCILS SMALL TUBE SKULL,4527.43,6976,355,560.0,154.0,367.5
20975,12 PENCILS SMALL TUBE RED RETROSPOT,4383.27,6633,362,576.0,169.0,354.5
20977,36 PENCILS TUBE WOODLAND,2328.64,1739,185,950.0,830.0,885.5
20978,36 PENCILS TUBE SKULLS,2395.05,1795,263,925.0,805.5,562.0
20979,36 PENCILS TUBE RED RETROSPOT,4723.7300000000005,3734,325,537.0,370.0,423.5
20980,36 PENCILS TUBE POSY,76.91,79,20,3131.0,2782.0,2817.0
20981,12 PENCILS TALL TUBE WOODLAND,1740.57,1974,249,1169.0,725.5,607.5
