InvoiceNo,InvoiceRevenue,InvoiceQuantity,ProductLines
536780,12.8,4,4
536781,50.400000000000006,24,1
536782,517.95,244,27
536783,4076.48,2909,38
536784,2170.9,1330,25
536785,2730.96,1008,6
536786,324.0,144,2
536787,192.46,76,13
536788,75.0,60,1
536789,22.2,12,2
536790,532.01,141,17
536791,44.400000000000006,24,2
536792,30.0,24,1
536793,170.7,70,11
536794,322.8,96,4
536795,333.72,180,7
536796,349.04,159,105
536797,130.8,56,6
536798,684.46,454,29
536799,183.3,122,18
536800,236.97,190,19
536801,252.3,134,14
536802,197.3,50,8
536803,22.5,6,1
536804,1714.25,531,25
536805,406.56,384,20
536806,45.12,84,5
536808,247.8,64,12
536809,1003.2,1824,1
536810,303.96,204,1
536811,527.85,69,1
536813,189.8,230,17
536819,308.28000000000003,190,17
536821,143.45000000000002,80,23
536823,50.550000000000004,13,3
536824,408.0,160,1
536830,2002.4,4280,2
536831,569.4,260,4
536832,164.8,64,8
536833,438.1,208,29
536834,35.400000000000006,12,1
536835,295.0,1,1
536836,263.3,133,27
536837,308.68,174,27
536838,37.2,96,3
536839,623.73,879,16
536840,155.35,148,11
536841,393.42,174,22
536842,263.62,130,11
536843,34.9,14,2
536844,189.3,38,3
536845,127.55,45,29
536846,402.0,126,70
536847,215.57999999999998,222,9
536848,534.0,280,3
536849,397.5,106,3
536851,1368.4,360,15
536852,89.14,107,7
536856,754.87,343,39
536857,128.03,54,17
536858,303.4,110,6
536859,294.25,186,24
536860,254.4,108,10
536861,303.5,79,10
536862,1334.13,150,81
536863,112.27,73,42
536864,636.6800000000001,66,47
536865,2396.96,317,140
536866,8.47,1,1
536874,217.26,86,63
536876,7257.08,1641,593
536883,5.46,13,1
536884,39.75,5,3
536885,549.0,200,11
536890,322.2,1548,3
536920,69.3,58,10
536938,1680.88,464,14
536943,187.51,170,28
536944,620.0,400,5
536945,294.01,152,62
536946,841.94,363,29
536947,686.4,439,38
536954,425.0,100,1
536956,304.95000000000005,93,15
536957,791.7,234,13
536960,225.65,125,14
536967,76.5,31,2
536968,534.0,168,2
536969,528.0,192,1
536970,1314.0,120,1
536971,248.16,140,8
536972,230.25,35,14
536973,736.28,356,31
536974,336.24,132,16
536975,1705.65,827,71
536976,149.8,76,19
536977,108.78,60,14
536980,591.47,239,12
536981,97.39,38,23
536982,10661.69,1834,145
536983,175.53,60,9
536984,339.54,136,29
536985,334.3,42,11
536986,124.14,104,7
536987,272.01,124,53
536988,254.39000000000001,100,38
536989,115.7,26,22
536990,131.8,65,7
536991,26.4,32,8
536992,91.8,36,1
536993,110.35000000000001,39,34
536994,98.5,18,3
537022,427.8,164,24
537023,122.15,64,25
537025,76.83,48,15
537026,346.1,528,12
537030,246.3,142,13
537031,135.0,108,6
537034,2355.1800000000003,1338,73
537035,11.6,8,1
537036,135.32999999999998,75,31
537037,256.90000000000003,92,11
537038,535.75,125,7
537040,734.3999999999999,192,2
537041,155.64000000000001,52,26
537042,230.66,80,49
537044,431.45,93,19
537045,118.88,43,32
537046,277.45,55,14
537047,326.59999999999997,181,41
537048,5.9,2,2
537049,277.65000000000003,97,14
537050,555.84,437,51
537051,317.29,121,37
537052,552.24,232,5
537053,275.8,124,3
537054,152.05,82,41
537055,273.29,107,15
537057,274.67,129,51
537058,351.43,197,12
537059,125.43,58,23
537065,1526.92,611,63
537067,27.45,8,6
537077,179.64000000000001,163,26
537081,1145.06,442,25
537086,438.0,168,8
537090,15.0,12,1
537111,177.89,83,22
537117,204.0,48,1
537126,472.11,211,117
537127,408.0,160,2
537128,211.74,135,23
537129,301.12,232,17
537130,114.65,28,19
537131,529.4,429,37
537133,186.88,68,50
537134,163.49,107,9
537135,722.36,471,117
537136,267.46,147,34
537137,535.6,392,66
537138,273.3,204,33
537139,33.15,25,3
537140,65.57,51,36
537141,517.65,165,44
537142,41.45,16,15
537144,329.03,202,96
537153,606.0500000000001,407,44
537154,953.0500000000001,327,55
537155,73.72,63,30
537156,236.25,75,17
537158,184.8,86,10
537159,292.95,60,28
537160,283.15,128,26
537163,384.71999999999997,276,21
537176,128.55,69,20
537179,806.28,284,13
537192,205.65,102,54
537193,429.40000000000003,226,34
537194,271.2,80,1
537195,635.64,298,32
537196,382.57,149,76
537197,286.5,79,16
537198,85.5,11,2
537199,151.44,111,34
537200,111.65,46,28
537201,1631.3,972,70
537202,257.0,106,45
537204,198.43,293,32
537205,165.86,116,11
537206,85.55000000000001,25,4
537207,188.77,40,23
537208,272.07,141,59
537209,192.68,83,42
537210,207.74,100,15
537211,355.75,145,16
537212,473.39,299,30
537213,8.65,7,6
537214,1668.2,2048,13
537215,358.56,108,7
537216,569.5,240,18
537217,167.2,16,4
537218,320.08,196,16
537219,423.52,252,69
537220,3.35,1,1
537221,37.35,14,7
537222,129.23,56,25
537223,164.7,46,9
537224,1369.06,674,152
537225,491.38,310,63
537226,113.48,86,9
537227,922.4,700,20
537228,25.200000000000003,12,1
537229,17.4,12,1
537230,2.95,1,1
537231,308.8,112,18
537233,353.0,148,9
537235,2567.6400000000003,1464,5
537236,375.69000000000005,91,10
537237,7335.45,1608,597
537238,164.2,88,15
537239,210.19,67,13
537240,7660.4800000000005,1811,568
537241,364.92,172,15
537242,412.22,282,29
537243,50.400000000000006,24,2
537244,300.66,349,11
537245,58.2,48,3
537246,129.4,53,7
537247,223.68,192,3
537248,56.25,39,4
537249,33.0,20,1
537250,196.44,89,14
537252,26.35,31,1
537253,351.47,178,24
537254,377.64,207,57
537255,303.5,163,20
537256,2263.8,796,11
537257,142.5,58,9
537258,142.25,92,10
537262,585.41,256,54
537265,214.07999999999998,175,39
537298,153.5,54,9
537301,102.66,72,15
537312,311.24,254,9
537313,123.15,21,5
537332,322.8,120,12
537334,430.73,146,44
537335,98.7,32,23
537346,673.37,503,34
537350,419.06,350,12
537351,112.08,94,29
537354,133.07,85,38
537359,184.10000000000002,72,10
537360,76.32000000000001,72,1
537362,390.97,529,59
537365,449.95000000000005,201,21
537366,308.05,106,12
537367,25.200000000000003,12,1
537368,377.5,135,15
537369,226.45000000000002,93,52
537370,379.7,168,52
537371,185.97,119,14
537372,198.35,73,22
537374,367.95,256,82
537375,358.82,223,49
537376,480.68,278,16
537377,270.52,116,14
537378,784.15,476,20
537380,100.80000000000001,48,2
537381,511.56,372,24
537382,370.42,192,54
537384,122.7,56,5
537385,125.10000000000001,37,13
537386,20.85,3,1
537387,222.18,84,14
537388,391.5,210,18
537389,149.0,60,19
537390,123.24,40,8
537391,554.66,257,48
537392,166.15,80,24
537393,2415.04,972,34
537394,81.17999999999999,54,5
537395,143.12,75,49
537396,292.84000000000003,64,30
537397,244.20000000000002,164,10
537399,402.36,174,57
537400,422.81,261,50
537403,30.45,21,11
537404,56.85,38,11
537405,406.69,132,46
537407,192.7,34,6
537409,406.16,247,16
537410,151.20000000000002,72,1
537411,9.65,4,3
537412,177.60000000000002,96,1
537415,227.4,63,9
537418,135.01,65,35
537419,510.95,209,14
537420,335.3,184,18
537421,287.54,129,49
537422,193.29999999999998,127,29
537423,166.0,104,6
537424,92.55000000000001,57,3
537428,450.92,210,22
537429,82.12,119,21
537433,417.62,146,4
537434,8223.4,1869,675
537435,221.5,82,14
537440,214.32,67,16
537441,536.0500000000001,255,40
537442,5.07,2,2
537446,569.03,201,28
537447,151.3,54,7
537448,39.6,6,1
537456,1989.2400000000002,780,2
537457,1644.94,914,19
537458,293.45000000000005,101,13
537459,178.4,112,11
537460,326.4,128,1
537461,510.0,120,1
537462,172.65,89,12
537463,1033.52,585,41
537464,618.07,234,28
537465,454.6,218,22
537467,118.25,51,18
537468,415.46,167,20
537469,102.0,24,1
537470,111.25,21,5
537471,17.85,3,1
537472,111.54,126,6
537476,957.5,550,3
537484,1830.02,680,28
537489,511.8,396,21
537509,532.8000000000001,288,2
537523,159.55,61,9
537534,924.59,1,1
537538,311.65,131,12
537567,180.7,124,29
537592,327.4,268,5
537593,571.0,300,13
537594,596.8,155,17
537595,109.82000000000001,43,23
537598,319.0,80,14
537599,19.9,2,1
537601,108.78,62,9
537603,373.49,213,15
537604,1381.92,516,45
537605,166.74,52,12
537606,631.65,279,31
537607,156.19,74,16
537608,444.42,235,47
537609,617.12,236,12
537612,322.3,122,10
537614,322.8,137,30
537615,139.0,20,5
537616,15.9,2,1
537617,177.26,76,8
537618,2022.16,956,16
537619,230.4,136,7
537620,97.8,54,6
537621,19.5,10,4
537622,165.94,114,23
537623,383.93,199,44
537624,295.11,146,57
537625,87.5,36,6
537626,711.79,319,31
537627,713.88,476,12
537628,378.75,189,16
537629,356.87,191,18
537631,17.4,12,1
537632,13541.33,1,1
537633,24.9,5,5
537634,231.9,62,18
537635,68.1,30,2
537636,172.0,32,3
537637,15.7,4,4
537638,6293.86,1448,601
537640,11540.34,2200,148
537641,1240.19,138,79
537642,2164.51,256,122
537643,2416.59,269,123
537645,2448.29,254,107
537646,384.3,124,71
537648,402.61,271,22
537649,112.6,36,7
537650,289.35,124,13
537653,247.33,80,34
537654,135.05,46,21
537655,111.15,57,8
537657,9639.12,2790,5
537658,395.76,120,3
537659,15885.49,3689,9
537664,46.8,24,1
537665,139.86,101,6
537666,5058.04,1144,536
537667,326.4,128,1
537668,48.800000000000004,20,2
537669,164.25,105,9
537670,514.39,151,10
537671,328.45,145,15
537672,328.01,182,18
537673,522.7,139,7
537674,319.18,250,19
537675,5.04,12,1
537676,258.90000000000003,214,8
537678,356.91,133,9
537679,24.59,24,5
537680,253.24,173,13
537681,304.2,175,7
537682,99.6,72,4
537683,365.4,240,20
537685,204.87,171,19
537686,225.0,148,3
537688,702.1,270,19
537689,301.52,288,17
537690,329.36,220,15
537691,310.57,163,20
537692,671.21,434,50
537693,173.55,121,11
537694,158.25,63,14
537698,468.68,452,4
537700,309.0,68,3
537707,303.86,176,14
537738,287.08,144,17
537743,151.95,65,9
537751,38.8,16,2
537754,157.6,53,22
537755,411.44,198,9
537757,314.1,86,8
537758,105.72,118,10
537759,203.64000000000001,108,12
537760,307.82000000000005,106,4
537761,19.8,12,1
537762,569.4,275,27
537764,145.93,62,45
537765,215.88,81,38
537766,651.6,288,4
537767,350.4,32,1
537768,39.0,20,2
537769,198.09,90,49
537770,295.66,176,15
537771,450.92,204,9
537772,287.91,157,62
537773,363.02,138,66
537774,281.0,196,4
537775,910.14,525,45
537780,127.05000000000001,51,6
537781,416.61,246,136
537789,623.4200000000001,214,14
537791,147.39999999999998,12,2
537792,147.20000000000002,67,19
537793,2746.75,1655,29
537794,414.43,189,60
537795,312.90000000000003,92,15
537796,405.16,248,6
537799,142.95,55,11
537800,69.78999999999999,75,10
537801,403.25,43,5
537802,692.94,190,30
537803,89.5,10,2
537804,130.64,116,13
537806,372.96999999999997,105,10
537808,251.09,145,17
537809,118.3,26,7
537810,23.85,3,1
537811,268.86,74,2
537813,376.3,116,7
537815,300.7,158,15
537816,129.75,29,3
537817,168.60000000000002,76,7
537818,1149.29,424,53
537819,397.6,286,17
537822,566.95,365,30
537823,6073.71,1484,591
537825,222.5,118,28
537826,272.34000000000003,104,21
537827,63.0,30,1
537828,478.89,331,30
537829,525.8,260,19
537830,197.8,67,15
537831,106.77000000000001,39,11
537833,590.0,200,1
537836,103.68,144,1
537837,313.72,303,14
537839,12.87,9,9
537840,305.45,103,15
537841,320.0,1000,1
537842,158.26,74,15
537843,171.15,59,9
537844,190.34,94,38
537845,71.4,12,4
537846,201.60000000000002,130,5
537847,180.4,64,6
537848,180.0,144,1
537849,75.0,60,1
537850,318.84,316,25
537851,356.4,264,7
537852,2671.27,1665,86
537854,154.8,120,5
537855,263.25,95,32
537858,24.95,15,11
537859,670.55,96,26
537861,120.65,47,6
537862,111.53,71,7
537863,5.95,1,1
537864,336.94,238,14
537865,237.95,125,22
537866,676.1,274,9
537867,307.25,75,15
537868,1867.98,1730,74
537871,167.09,123,25
537879,213.3,56,8
537880,365.8,172,16
537881,956.5,238,12
537882,141.95,45,4
537883,63.0,60,5
537884,525.93,111,6
537885,258.75,69,16
537886,209.3,110,10
537887,1485.72,532,10
537888,524.35,440,35
537889,670.48,260,27
537890,100.2,36,6
537891,88.8,36,5
537892,159.38,85,10
537894,464.61,227,14
537895,429.24,92,5
537896,258.95,157,14
537897,213.88,107,13
537898,364.4,87,20
537899,3794.4,1488,1
537900,382.66,231,24
537901,309.4,68,3
537915,254.03,118,13
537955,364.2,85,46
537963,308.28000000000003,149,14
537967,57.6,9,3
537981,1335.2,2154,4
537995,295.1,84,11
538000,101.9,17,2
538002,363.53,80,17
538003,1281.5,454,20
538005,832.8,120,3
538006,163.2,64,2
538007,174.4,92,11
538008,849.2,557,41
538009,945.55,287,32
538010,226.79999999999998,40,5
538011,257.22,184,32
538012,224.38,48,29
538013,109.75,83,12
538014,656.7,150,13
538015,224.07,131,21
538032,174.4,58,10
538035,367.14,228,73
538037,112.6,60,5
538040,325.76,217,60
538044,21.299999999999997,16,3
538048,181.0,52,2
538049,18.4,8,5
538050,15.9,2,1
538051,201.45,152,28
538053,1571.32,675,30
538056,249.65,118,24
538057,316.82,210,11
538060,5.85,3,1
538063,1914.24,96,1
538064,111.75,78,24
538065,428.6,208,23
538067,165.65,66,26
538068,300.91999999999996,499,12
538069,414.88,239,66
538070,103.7,24,5
538071,7268.65,1642,651
538073,16.21,16,10
538076,272.36,141,14
538077,686.15,394,48
538078,374.25,173,26
538079,394.18,190,17
538080,251.0,110,9
538086,378.53000000000003,203,38
538087,60.0,16,4
538093,739.05,344,33
538094,186.03,85,11
538095,174.72,67,40
538096,3.7199999999999998,3,3
538097,315.0,196,15
538101,230.1,78,1
538104,190.35,129,26
538106,72.82000000000001,57,13
538107,155.0,80,9
538108,249.86,222,17
538113,289.85,95,16
538116,685.0,240,18
538117,60.0,36,3
538120,144.5,150,2
538125,30.0,16,2
538126,218.4,78,12
538127,7.5,2,2
538145,383.07,117,23
538146,402.32,168,21
538147,15.0,1,1
538148,2215.27,225,111
538149,2446.16,239,113
538151,441.6,92,5
538153,3091.82,353,121
538154,294.01,32,21
538155,179.92000000000002,67,33
538156,620.35,202,37
538157,119.65,57,12
538163,257.95,116,46
538165,185.82,154,3
538166,113.2,43,16
538167,298.95,125,25
538168,310.45,162,29
538169,93.45,33,13
538170,317.59000000000003,133,25
538171,300.64,194,65
538172,370.8,212,11
538174,1947.01,1063,46
538175,378.0,21,1
538176,402.0,152,4
538177,6272.01,1306,534
538178,157.9,82,6
538179,17.700000000000003,6,1
538180,369.1,178,10
538181,151.5,58,7
538182,114.24000000000001,38,9
538183,651.83,279,32
538184,458.92,314,26
538185,188.98,90,6
538186,201.75,77,11
538187,218.10000000000002,68,10
538188,2.95,1,1
538190,127.9,56,10
538191,5375.28,1559,16
538192,135.0,20,1
538193,67.5,10,1
538194,0.95,1,1
538195,337.5,50,2
538196,1071.9,418,16
538197,124.1,55,21
538198,919.8,659,87
538199,182.25,110,29
538200,94.3,56,14
538201,190.70000000000002,73,38
538202,254.57,139,18
538203,186.60000000000002,116,8
538204,428.76,396,4
538205,327.66,270,60
538206,236.92,44,15
538207,270.22,259,54
538208,111.8,34,26
538209,185.06,104,41
538210,523.86,302,32
538211,239.7,60,8
538216,254.4,40,5
538240,247.56,124,7
538248,139.68,73,38
538250,132.65,59,33
538252,219.1,60,8
538255,1156.05,379,51
538260,300.65000000000003,105,16
538263,228.12,132,14
538268,116.89999999999999,52,7
538279,686.1600000000001,472,7
538280,612.1,418,11
538283,10.29,7,4
538288,1.9,2,1
538296,309.40000000000003,178,18
538306,202.5,30,1
538307,207.36,79,38
538308,363.24,268,16
538309,114.44999999999999,55,3
538310,25.799999999999997,20,2
538311,311.95,131,14
538312,256.32,167,44
538313,1076.3200000000002,290,30
538327,401.92,226,22
538342,39.95,47,1
538343,385.58000000000004,170,16
538345,106.4,56,7
538346,756.45,387,36
538347,317.5,83,32
538349,6602.3099999999995,1504,620
538351,12633.67,2229,140
538352,173.7,46,3
538353,3762.66,2420,38
538354,2157.64,1040,68
538355,9.9,2,1
538356,966.62,712,21
538358,21.7,6,6
538361,158.0,59,26
538363,156.65,65,19
538364,102.35000000000001,44,18
538365,326.7,100,19
538366,275.3,44,7
538367,664.01,635,43
538368,141.04,70,66
538369,269.83,108,37
538370,550.5,218,50
538371,333.54,193,37
538374,189.92,112,50
538378,346.90000000000003,131,38
538379,201.95000000000002,79,53
538382,214.24,84,37
538397,3590.59,2409,48
538403,324.22,196,22
538409,126.28,67,9
538417,106.75,51,10
538418,168.46,127,45
538419,167.09,87,34
538420,293.76000000000005,1728,1
538421,107.16,55,28
538437,110.1,46,24
538449,448.74,227,53
538453,330.92,195,27
538470,11.6,2,2
538473,177.66,66,14
538488,210.13,119,28
538497,168.35999999999999,70,44
538499,388.65,35,2
538501,11.9,2,1
538503,513.64,174,6
538504,160.65,97,17
538507,767.37,559,56
538508,863.39,466,118
538509,121.05,67,22
538510,157.92,75,37
538511,214.74,118,16
538512,135.4,59,9
538513,179.1,86,25
538514,786.35,303,50
538515,1393.56,564,13
538516,204.0,48,1
538517,278.98,149,42
538518,1038.6,506,133
538519,31.3,6,6
538520,23.3,4,3
538521,339.4,56,17
538522,539.2,552,6
538523,384.55,270,24
538524,5344.98,1303,490
538525,881.01,300,20
538526,1206.72,864,4
538527,418.92,336,7
538528,103.5,56,6
538529,777.5600000000001,220,23
538532,318.85,117,13
538533,357.61,238,37
538534,40.8,48,1
538535,127.0,61,7
538537,347.71,105,8
538541,540.95,227,15
538557,27.8,4,2
538558,309.71999999999997,562,34
538565,1.9,2,1
538566,4909.89,1034,474
538567,302.1,265,17
538576,166.22,70,14
538591,310.8,296,10
538592,230.1,92,15
538593,476.76,366,11
538594,218.1,490,2
538596,168.0,72,7
538597,171.04000000000002,196,26
538625,1101.77,836,54
538626,767.6,336,56
538627,14.44,12,7
538629,223.48,133,33
538630,1167.41,640,54
538631,689.04,440,9
538633,129.57,57,20
538634,466.49,237,40
538635,250.04,144,53
538636,676.54,272,41
538637,244.19,129,44
538638,232.01,116,52
538639,243.0,98,20
538640,145.0,90,6
538641,1485.78,772,37
538644,12.45,2,2
538645,310.74,230,16
538646,346.14,208,14
538648,760.32,240,5
538649,14.149999999999999,3,2
538651,280.94,78,23
538652,463.01,330,62
538653,1247.64,504,18
538654,91.9,26,5
538655,109.71000000000001,69,21
538656,92.14,39,7
538657,201.4,63,16
538658,125.2,131,7
538659,585.53,255,34
538660,1228.4,419,42
538661,309.05,119,11
538662,1822.88,980,46
538663,38.1,8,2
538664,1695.12,844,33
538665,177.35,73,10
538666,12.850000000000001,7,6
538667,1.9,2,1
538668,110.7,46,2
538669,0.95,1,1
538671,365.55,113,5
538678,67.72,33,17
538679,150.68,52,11
538683,462.3,312,20
538685,15.0,1,1
538687,650.1,210,5
538688,148.36,100,7
538689,300.92,146,16
538697,102.0,40,3
538706,312.4,392,13
538707,167.01,76,42
538708,365.27,191,18
538709,147.06,61,44
538710,198.95000000000002,117,12
538714,275.45,137,26
538715,325.22,118,18
538716,17.4,12,1
538719,60.0,48,1
538721,11.8,4,1
538722,307.39,104,20
538724,2.95,1,1
538744,195.8,110,55
538753,134.64999999999998,38,6
538778,39.45,13,9
538783,976.7,490,30
538785,206.0,76,8
538795,293.85,109,10
538796,304.5,190,17
538797,10.5,25,1
538799,706.25,225,59
538800,193.9,86,10
538801,337.98,384,17
538807,252.62,118,28
538808,632.52,751,43
538809,306.52,208,11
538810,120.95,33,21
538811,710.0,388,32
538812,74.25,53,6
538814,324.72,140,25
538815,179.87,75,11
538816,479.35,81,15
538817,301.2,360,4
538826,1587.07,916,82
538827,2594.76,2552,89
538828,231.84,300,4
538829,326.4,384,1
538830,146.46,78,5
538831,337.6,224,4
538832,413.79,251,25
538836,234.85999999999999,111,22
538839,292.89,107,43
538841,170.55,75,16
538843,152.1,45,18
538844,1194.52,470,17
538845,92.82,74,6
538846,11.0,4,2
538848,1188.0,240,1
538849,852.68,458,83
538850,147.35,59,9
538851,310.85,187,16
538852,198.07,107,29
538853,214.76999999999998,270,55
538854,357.1,152,12
538855,488.09000000000003,219,30
538856,293.4,220,5
538857,150.75,62,10
538858,951.24,640,11
538859,658.2,428,6
538860,115.35,52,12
538862,149.5,52,17
538863,341.65999999999997,138,43
538864,360.06,90,5
538865,91.15,33,5
538866,647.99,318,67
538867,3.75,1,1
538868,824.02,814,27
538869,61.050000000000004,43,3
538870,85.75,125,5
538871,476.70000000000005,186,6
538872,304.90000000000003,90,11
538875,307.8,106,9
538877,12681.58,2150,148
538878,267.0,104,8
538879,338.98,402,19
538880,638.74,89,57
538881,718.3499999999999,80,48
538883,1308.63,149,78
538884,518.73,62,41
538885,20.25,3,1
538886,411.40000000000003,234,28
538888,125.56,114,14
538890,362.79,377,54
538892,17.4,12,1
538894,202.45,87,25
538895,247.38,370,15
538896,302.78,270,17
538899,123.1,58,5
538900,366.77,135,19
538901,238.65,115,11
538902,306.18,262,12
538903,501.01,229,26
538905,303.15000000000003,183,15
538907,202.79999999999998,24,5
538908,346.8,194,12
538909,97.5,18,5
538910,165.85,59,9
538917,684.26,264,73
538935,186.64,71,12
538942,101.23,49,12
538943,253.20000000000002,168,4
538944,201.20000000000002,82,10
538945,1761.26,894,22
538951,201.84,60,42
538967,354.48,168,8
538968,303.57,248,20
538991,3240.4,3944,45
538992,428.82,135,29
538993,101.2,56,6
538994,422.7,82,9
538995,1185.8600000000001,506,30
538996,332.1,38,5
538998,2605.88,1101,15
538999,1181.0,184,20
539000,185.45000000000002,31,7
539001,102.0,24,1
539002,269.31,51,29
539004,336.98,142,9
539005,20.4,24,1
539006,102.28,34,4
539007,105.88,34,17
539008,307.8,124,8
539009,498.16,153,35
539010,247.91,148,45
539011,67.24,132,4
539012,1305.6,1536,8
539013,38.25,3,1
539014,343.26,384,25
539015,440.2,160,16
539016,571.48,198,15
539017,15.8,4,1
539018,283.53000000000003,158,16
539019,290.34,142,39
539030,755.3000000000001,390,18
539032,74.4,40,5
539033,228.6,36,1
539034,209.65,83,22
539036,300.87,423,17
539038,308.37,357,20
539039,1256.32,930,61
539040,171.05,43,14
539041,231.22,410,25
539042,209.08,164,11
539043,392.34000000000003,250,17
539044,1516.95,535,66
539045,19.25,25,3
539046,295.2,235,15
539047,219.6,168,8
539048,80.64,192,1
539049,1048.64,364,23
539050,195.89,134,67
539051,14.85,3,1
539052,17.700000000000003,6,1
539053,196.85,68,47
539056,1.45,1,1
539064,58.7,8,6
539070,19.9,26,4
539074,55.5,11,10
539075,226.57,102,37
539076,391.0,96,5
539077,314.55,177,3
539078,379.68,330,9
539079,271.05,79,10
539080,404.82,113,7
539081,2.95,1,1
539082,205.8,78,12
539083,32.25,15,2
539084,190.35000000000002,93,11
539085,164.64,120,3
539086,397.96,260,12
